GENDER,REFERRING_PROVIDER_REGION,DISEASE_CODE,RECEIVING_PROVIDER_REGION,AGE_GROUP,TOTAL_REFERRALS
M,Riyadh,V99,Riyadh,50-59,95
F,Jeddah,I26.9,Makkah,70-79,2
M,Jeddah,K92.2,Makkah,00-17,2
F,Jeddah,O09.9,Makkah,30-39,2
M,Hafer AlBatin,V99,Hafer Albatin,18-29,4
F,Asir,K83.0,Assir,80+,12
M,Jeddah,A41.9,Makkah,00-17,6
M,Riyadh,S72.9,Riyadh,40-49,62
M,Asir,J18.9,Assir,80+,26
M,Asir,E13.11,Assir,60-69,6
M,Qunfotha,H02.9,Makkah,30-39,7
M,Asir,J18.9,Assir,00-17,215
F,Jeddah,E10.15,Makkah,00-17,2
M,Jeddah,E14.11,Jeddah,50-59,2
F,Medinah,U80.3,Medina,00-17,18
F,Makkah,J18.0,Makkah,80+,6
M,Jeddah,I24.9,Makkah,30-39,4
M,Jeddah,I26.9,Makkah,30-39,1
M,Medinah,E13.11,Medina,18-29,12
F,Jeddah,P59.9,Makkah,00-17,5
F,Jeddah,U82.3,Jeddah,70-79,68
F,Makkah,F31.9,Makkah,18-29,12
F,Jeddah,S06.02,Jeddah,40-49,25
M,Makkah,I51.9,Makkah,30-39,6
M,Asir,E27.9,Assir,50-59,6
M,Jeddah,J17.1,Makkah,50-59,1
F,Makkah,J15.9,Makkah,60-69,6
M,Asir,R56.0,Assir,00-17,6
F,Riyadh,G82.00,Riyadh,50-59,3
F,Qassim,D01.0,Qassim,70-79,2
F,Riyadh,K85.9,Riyadh,60-69,30
M,Bisha,R05,Riyadh,50-59,32
F,Makkah,G00.9,Makkah,00-17,6
M,Asir,G03.8,Assir,40-49,6
M,Makkah,K92.9,Makkah,50-59,1
M,Medinah,G47.39,Medina,00-17,1
M,Riyadh,M61.32,Riyadh,00-17,30
M,Jeddah,G91.9,Jeddah,00-17,19
M,Medinah,I69.4,Medinah,70-79,1
F,Northern Borders,G61.0,Riyadh,30-39,1
F,Qassim,U80.3,Qassim,00-17,3
F,Qassim,A41.4,Qassim,50-59,3
M,Makkah,S42.23,Makkah,30-39,6
F,Makkah,A37.0,Makkah,00-17,6
M,Asir,J44.9,Assir,70-79,1
F,Jazan,S72.00,Asir,80+,1
F,Medinah,O62.9,Medinah,30-39,1
M,Jazan,S72.9,Jazan,30-39,3
M,Riyadh,J06.9,Riyadh,80+,30
F,Asir,J96.09,Assir,80+,5
M,Jazan,N17.9,Jazan,00-17,1
F,Asir,E14.15,Northern Borders,80+,1
F,Makkah,J18.8,Makkah,30-39,6
M,Jeddah,I69.4,Makkah,50-59,1
F,Asir,P28.40,Assir,00-17,8
M,Asir,E11.65,Assir,80+,7
F,Qassim,J06.9,Qassim,60-69,3
F,Asir,J21.9,Assir,00-17,173
M,Riyadh,M79.67,Riyadh,40-49,1
F,Asir,R05,Assir,70-79,26
M,Jeddah,S09.9,Makkah,18-29,3
F,Bisha,M42.12,Riyadh,80+,31
M,Makkah,J18.9,Makkah,18-29,12
M,Jeddah,I24.9,Jeddah,40-49,333
F,Jeddah,N17.9,Jeddah,80+,63
F,Jeddah,N17.9,Jeddah,00-17,22
M,Qassim,I46.0,Qassim,60-69,4
F,Jeddah,D05.9,Makkah,70-79,1
F,Jeddah,A41.8,Jeddah,80+,47
M,Asir,A37.0,Assir,00-17,13
F,Asir,S01.0,Assir,00-17,6
F,Jeddah,E10.11,Jeddah,00-17,83
M,Jeddah,U80.3,Makkah,50-59,2
F,Medinah,I50.9,Medina,70-79,6
M,Jazan,I42.9,Assir,00-17,6
F,Jeddah,N17.2,Jeddah,18-29,20
F,Jeddah,U82.3,Makkah,80+,4
F,Riyadh,P07.32,Riyadh,00-17,345
F,Najran,J18.0,Najran,00-17,20
M,Asir,S11.81,Assir,30-39,6
M,Qassim,J15.9,Qassim,70-79,2
F,Jeddah,J15.9,Jeddah,30-39,21
M,Riyadh,I64,Riyadh,40-49,134
F,Jeddah,E13.13,Jeddah,18-29,23
M,Riyadh,I50.0,Riyadh,50-59,67
M,Jeddah,K76.7,Makkah,70-79,1
F,Jeddah,P07.31,Jeddah,30-39,21
F,Jeddah,U82.3,Jeddah,40-49,22
M,Makkah,K92.9,Makkah,80+,12
M,Jeddah,I20.0,Makkah,50-59,3
M,Jazan,E11.11,Assir,50-59,6
M,Riyadh,D57.0,Riyadh,30-39,61
M,Riyadh,S06.03,Riyadh,60-69,35
M,Asir,Z50.9,Riyadh,18-29,6
M,Jeddah,D64.9,Makkah,40-49,1
F,Jeddah,E87.0,Jeddah,30-39,20
M,Makkah,I50.9,Makkah,60-69,12
F,Medinah,K81.0,Medina,80+,7
M,Jazan,E13.16,Jazan,00-17,2
F,Jeddah,I69.4,Jeddah,50-59,20
F,Makkah,O62.9,Makkah,30-39,6
F,Jeddah,R57.2,Jeddah,50-59,42
F,Jeddah,J18.9,Makkah,50-59,2
M,Medinah,K35.8,Medina,00-17,12
M,Makkah,I26.9,Makkah,18-29,6
F,Riyadh,O42.9,Riyadh,30-39,31
M,Jazan,J18.9,Jazan,70-79,2
F,Riyadh,I42.9,Riyadh,60-69,31
M,Jeddah,J44.9,Makkah,50-59,1
F,Riyadh,J45.9,Riyadh,80+,93
M,Jeddah,K92.2,Jeddah,50-59,71
F,Qassim,J96.01,Qassim,40-49,3
F,Riyadh,D57.0,Riyadh,00-17,95
M,Jeddah,V99,Jeddah,80+,20
M,Makkah,I24.9,Makkah,50-59,12
F,Eastern Region,I46.0,East,60-69,17
M,Riyadh,R57.2,Riyadh,80+,30
F,Qassim,E11.11,Qassim,50-59,6
M,Makkah,L89.10,Makkah,40-49,6
F,Riyadh,K52.0,Riyadh,00-17,31
M,Jeddah,I26.9,Makkah,80+,2
F,Medinah,E87.1,Medina,80+,6
M,Bisha,I61.3,Assir,70-79,6
M,Asir,R56.8,Assir,70-79,6
M,Asir,B87.1,Assir,00-17,7
F,Riyadh,U86.2,Riyadh,60-69,3
M,Asir,U86.2,Riyadh,40-49,1
F,Asir,D57.0,Asir,00-17,1
M,Medinah,R56.8,Medina,00-17,12
M,Jeddah,R10.0,Makkah,18-29,2
M,Jeddah,R04.0,Makkah,00-17,1
M,Qassim,K76.9,Qassim,30-39,2
M,Jeddah,V99,Jeddah,00-17,86
M,Riyadh,G40.60,Riyadh,40-49,30
F,Najran,A78,Riyadh,60-69,31
F,Asir,U80.3,Assir,40-49,6
M,Hafer AlBatin,G54.0,East,18-29,18
F,Qassim,J96.00,Qassim,80+,2
M,Medinah,K80.41,Medina,70-79,6
F,Makkah,E87.6,Makkah,40-49,6
M,Eastern Region,M23.20,East,18-29,1
F,Jeddah,I10,Jeddah,80+,20
F,Qassim,A41.8,Qassim,70-79,3
M,Asir,J81,Assir,50-59,7
M,Tabuk,S52.11,Tabuk,18-29,2
M,Asir,S42.03,Assir,30-39,6
F,Jeddah,I47.1,Jeddah,70-79,19
F,Asir,P92.0,Assir,00-17,6
M,Tabuk,S02.61,Medinah,00-17,1
M,Makkah,S72.11,Makkah,80+,6
M,Qassim,U82.3,Qassim,60-69,3
F,Jeddah,P36.0,Makkah,80+,1
M,Hafer AlBatin,Z50.9,Riyadh,00-17,1
M,Asir,J18.9,Assir,18-29,16
M,Jeddah,T63.0,Makkah,40-49,1
F,Riyadh,M83.26,Riyadh,70-79,32
M,Jazan,J45.9,Jazan,00-17,6
M,Jeddah,S72.3,Makkah,60-69,1
F,Riyadh,G35,Riyadh,40-49,32
F,Medinah,E11.65,Medina,30-39,6
M,Riyadh,U80.3,Riyadh,18-29,34
F,Tabuk,S82.6,Medina,60-69,6
F,Riyadh,E03.5,Riyadh,50-59,32
M,Riyadh,N18.9,Riyadh,30-39,31
F,Asir,E11.11,Assir,80+,3
F,Medinah,P22.0,Medinah,00-17,1
M,Jeddah,A37.0,Makkah,00-17,1
F,Baha,Z50.9,Jeddah,00-17,1
M,Jazan,D56.9,Jazan,30-39,1
F,Medinah,J18.9,Medinah,50-59,1
M,Asir,R05,Assir,70-79,6
M,Makkah,I64,Makkah,50-59,18
F,Riyadh,W19,Riyadh,30-39,32
M,Hail,R62.0,Riyadh,00-17,1
F,Riyadh,G00.9,Riyadh,30-39,1
F,Jeddah,E13.12,Jeddah,30-39,1
M,Eastern Region,U80.3,East,30-39,34
M,Eastern Region,N17.9,East,50-59,17
F,Jeddah,G93.9,Jeddah,40-49,19
F,Northern Borders,U82.3,Riyadh,70-79,31
M,Asir,S83.10,Assir,80+,5
M,Jazan,J15.9,Jazan,00-17,2
M,Jazan,A09.9,Jazan,60-69,2
M,Jeddah,S09.9,Makkah,00-17,1
F,Jeddah,S22.43,Makkah,60-69,1
M,Riyadh,J96.09,Riyadh,60-69,3
M,Jazan,N18.9,Jazan,40-49,2
F,Asir,P39.9,Asir,00-17,1
M,Jeddah,J18.9,Jeddah,60-69,23
F,Riyadh,E16.2,Riyadh,00-17,31
M,Qassim,G41.9,Qassim,50-59,2
F,Qassim,E10.11,Qassim,40-49,2
M,Najran,P07.32,Najran,00-17,3
M,Qassim,I21.4,Qassim,50-59,2
F,Jeddah,J15.9,Jeddah,70-79,22
M,Medinah,R05,Medina,60-69,6
M,Jazan,L03.14,Jazan,60-69,2
M,Asir,R65.1,Assir,00-17,1
M,Qassim,I98.3,Qassim,80+,3
F,Qunfotha,S72.00,Makkah,80+,6
M,Medinah,N17.9,Medina,50-59,6
F,Asir,I64,Asir,60-69,1
F,Najran,U80.3,Assir,00-17,6
M,Asir,T00.0,Assir,00-17,6
F,Asir,Z50.9,Riyadh,00-17,1
F,Qassim,G40.01,Qassim,18-29,2
M,Makkah,S52.11,Makkah,40-49,6
M,Asir,K92.2,Assir,18-29,7
F,Jeddah,R07.4,Jeddah,18-29,20
F,Qassim,N25.9,Qassim,60-69,4
M,Qurayyat,J06.9,Riyadh,00-17,31
F,Asir,E11.11,Assir,00-17,18
M,Jouf,S42.23,Riyadh,18-29,30
F,Eastern Region,S42.3,Riyadh,70-79,1
F,Jeddah,S73.00,Jeddah,60-69,20
F,Jeddah,I51.9,Makkah,00-17,1
F,Jeddah,I42.9,Jeddah,60-69,21
F,Riyadh,P59.9,Riyadh,50-59,31
M,Medinah,R57.8,Medina,18-29,7
F,Makkah,N17.9,Makkah,80+,6
F,Qassim,U80.3,Qassim,80+,4
F,Jazan,J18.0,Jazan,00-17,8
M,Jeddah,I21.9,Jeddah,30-39,60
M,Jeddah,X40,Makkah,30-39,1
M,Jeddah,R57.8,Jeddah,60-69,21
F,Riyadh,I69.4,Riyadh,70-79,35
F,Medinah,I46.9,Medinah,80+,1
M,Medinah,J45.9,Medinah,50-59,1
F,Asir,O00.0,Assir,00-17,47
M,Najran,R10.4,Najran,00-17,3
M,Jeddah,R42,Makkah,60-69,1
F,Riyadh,I10,Riyadh,60-69,32
M,Qassim,R05,Qassim,50-59,9
M,Jeddah,P59.9,Makkah,00-17,1
M,Makkah,N13.0,Makkah,00-17,14
F,Jeddah,V99,Makkah,00-17,1
F,Jeddah,E14.11,Jeddah,50-59,21
M,Jeddah,E11.73,Makkah,70-79,1
F,Riyadh,D57.1,Riyadh,00-17,127
F,Medinah,Z50.8,Riyadh,00-17,3
F,Jeddah,J96.09,Makkah,70-79,1
F,Riyadh,I50.9,Riyadh,70-79,34
F,Qassim,F05.9,Qassim,60-69,2
M,Jeddah,J15.9,Jeddah,00-17,60
M,Jeddah,J15.9,Jeddah,80+,67
M,Jeddah,Q18.4,Jeddah,00-17,20
M,Riyadh,Z50.8,Riyadh,30-39,7
F,Jeddah,N11.0,Jeddah,60-69,26
F,Jeddah,I20.0,Makkah,40-49,1
F,Medinah,J22,Medina,00-17,12
F,Riyadh,N39.9,Riyadh,18-29,90
F,Riyadh,R07.4,Riyadh,80+,29
M,Riyadh,N13.3,Riyadh,00-17,32
M,Riyadh,E10.35,Riyadh,70-79,29
F,Riyadh,U82.3,Riyadh,70-79,108
F,Asir,K85.9,Assir,00-17,6
F,Riyadh,V99,Riyadh,50-59,30
M,Jeddah,U82.3,Jeddah,40-49,45
F,Riyadh,K85.9,Riyadh,18-29,31
F,Jeddah,J18.8,Makkah,70-79,1
M,Northern Borders,G91.9,Riyadh,50-59,31
F,Jeddah,I62.9,Makkah,40-49,1
F,Medinah,I24.9,Jeddah,60-69,26
M,Jeddah,Q90.9,Jeddah,00-17,22
M,Qassim,U80.3,Qassim,70-79,2
M,Makkah,G93.4,Jeddah,60-69,20
M,Riyadh,F09,Riyadh,70-79,31
M,Eastern Region,F40.01,East,40-49,2
M,Jeddah,U82.3,Makkah,50-59,2
F,Tabuk,P07.31,Medina,00-17,7
F,Hafer AlBatin,P71.1,Hafer Albatin,00-17,2
M,Makkah,S72.00,Makkah,70-79,6
F,Jeddah,E11.11,Makkah,70-79,3
F,Jeddah,K56.6,Makkah,30-39,1
M,Makkah,I50.9,Makkah,40-49,6
F,Makkah,E11.11,Makkah,18-29,6
M,Asir,T21.09,Assir,00-17,12
M,Jazan,J18.0,Assir,60-69,6
M,Jazan,R11,Jazan,00-17,2
F,Tabuk,S82.6,Tabuk,60-69,1
M,Asir,M61.29,Assir,00-17,6
M,Riyadh,G03.9,Riyadh,00-17,32
F,Jazan,K92.9,Jazan,50-59,2
M,Jeddah,A18.8,Jeddah,30-39,20
M,Medinah,J45.9,Medinah,00-17,12
M,Taif,S32.89,Makkah,18-29,1
F,Asir,J18.9,Assir,60-69,2
F,Medinah,I60.8,Medinah,80+,1
M,Makkah,S73.11,Makkah,00-17,6
F,Asir,O60.0,Assir,18-29,7
M,Asir,J44.1,Assir,60-69,6
M,Qassim,E10.51,Qassim,80+,4
F,Jeddah,O60.0,Makkah,18-29,1
F,Medinah,E11.11,Medinah,00-17,2
F,Medinah,O66.4,Medina,18-29,1
F,Makkah,Z50.8,Jeddah,50-59,1
M,Jeddah,R11,Makkah,00-17,1
M,Asir,J18.0,Assir,70-79,6
F,Riyadh,I64,Riyadh,18-29,33
F,Riyadh,Z99.1,Riyadh,18-29,3
F,Qassim,K80.30,Qassim,80+,4
F,Riyadh,K92.9,Riyadh,18-29,60
M,Asir,I64,Assir,50-59,27
F,Jeddah,W84,Jeddah,80+,19
F,Qassim,E88.9,Qassim,18-29,3
M,Riyadh,U82.3,Makkah,70-79,6
M,Baha,Z50.9,Riyadh,40-49,1
F,Riyadh,S01.23,Riyadh,80+,30
M,Qassim,E87.1,Qassim,70-79,2
F,Riyadh,M41.06,Riyadh,00-17,1
F,Eastern Region,I50.0,East,80+,17
F,Riyadh,U82.3,Riyadh,60-69,63
M,Medinah,J18.0,Medina,30-39,7
M,Jazan,E11.11,Jazan,60-69,4
M,Jazan,V99,Makkah,18-29,1
F,Jazan,R11,Jazan,00-17,2
M,Jeddah,S87.8,Makkah,00-17,1
F,Makkah,E11.11,Jeddah,50-59,20
M,Jeddah,B54,Jeddah,30-39,43
F,Jeddah,I46.0,Makkah,80+,1
F,Riyadh,M08.28,Riyadh,30-39,1
F,Asir,R65.1,Asir,00-17,1
M,Northern Borders,S32.4,Hail,50-59,2
F,Asir,K76.9,Assir,00-17,7
F,Riyadh,K43.6,Riyadh,60-69,31
M,Asir,Z50.9,Jeddah,30-39,1
M,Asir,R56.8,Assir,18-29,7
F,Jeddah,J96.01,Makkah,70-79,3
F,Asir,P39.9,Assir,00-17,7
F,Makkah,S72.9,Makkah,80+,13
F,Asir,A85.0,Assir,00-17,6
F,Medinah,O42.9,Medinah,30-39,12
M,Jazan,S24.11,Riyadh,18-29,1
M,Makkah,S42.3,Makkah,00-17,5
M,Medinah,J18.9,Medina,40-49,7
F,Riyadh,J96.01,Riyadh,80+,35
M,Riyadh,D44.2,Riyadh,60-69,1
M,Medinah,R19.4,Medina,00-17,6
F,Asir,G80.9,Assir,00-17,6
M,Makkah,F20.9,Makkah,18-29,6
F,Medinah,J46,Medinah,00-17,1
M,Jeddah,R57.9,Jeddah,00-17,23
M,Eastern Region,Z50.8,East,40-49,1
M,Asir,J84.9,Assir,80+,1
M,Asir,M80.18,Assir,00-17,7
F,Asir,I64,Assir,60-69,40
F,Najran,J20.9,Najran,00-17,27
M,Qassim,I64,Qassim,50-59,13
M,Najran,R05,Najran,00-17,36
M,Makkah,R10.0,Makkah,80+,13
F,Jeddah,J45.9,Makkah,50-59,1
F,Makkah,K59.0,Makkah,60-69,6
M,Jazan,I64,Jazan,70-79,2
M,Makkah,I24.9,Makkah,70-79,7
M,Asir,R57.0,Assir,40-49,6
F,Jeddah,I26.9,Makkah,60-69,1
M,Jeddah,N13.3,Makkah,00-17,2
F,Jeddah,K92.2,Makkah,70-79,2
F,Jeddah,E10.11,Makkah,40-49,1
F,Riyadh,P20.9,Riyadh,80+,31
F,Jeddah,N11.0,Makkah,60-69,2
M,Qassim,K92.0,Qassim,30-39,2
F,Najran,E11.11,Assir,00-17,6
M,Asir,A41.9,Assir,00-17,151
M,Tabuk,T18.2,Tabuk,40-49,2
M,Jeddah,R00.0,Jeddah,18-29,21
F,Riyadh,D57.1,Riyadh,30-39,33
M,Asir,J04.0,Assir,70-79,7
F,Qassim,E16.0,Qassim,18-29,3
F,Riyadh,I50.9,Riyadh,60-69,93
F,Asir,E16.2,Assir,00-17,19
F,Jeddah,J01.1,Jeddah,30-39,20
M,Qassim,K92.9,Qassim,50-59,2
F,Makkah,G41.8,Makkah,00-17,6
F,Riyadh,E03.9,Riyadh,60-69,31
M,Jeddah,P59.9,Makkah,30-39,1
M,Jeddah,T52.4,Jeddah,00-17,20
F,Jeddah,T58,Jeddah,00-17,42
F,Riyadh,I64,Riyadh,80+,241
F,Riyadh,J20.9,Riyadh,00-17,215
F,Asir,P59.9,Assir,00-17,26
M,Makkah,S81.0,Makkah,18-29,6
F,Jeddah,E11.11,Makkah,00-17,4
M,Jeddah,I60.8,Makkah,70-79,1
F,Jeddah,E10.11,Jeddah,40-49,21
F,Jouf,T79.6,Riyadh,50-59,32
M,Riyadh,R17,Riyadh,70-79,31
F,Makkah,R57.9,Makkah,70-79,6
M,Makkah,A35,Makkah,18-29,6
M,Jeddah,D55.0,Jeddah,18-29,21
M,Qunfotha,I62.0,Makkah,00-17,11
M,Jeddah,S72.9,Makkah,80+,2
F,Jouf,J18.0,Riyadh,00-17,32
M,Jeddah,A18.8,Jeddah,18-29,21
F,Asir,J18.9,Assir,80+,27
F,Riyadh,J06.9,Riyadh,60-69,31
M,Asir,S06.5,Assir,00-17,6
F,Riyadh,E11.11,Riyadh,60-69,180
M,Riyadh,I21.9,Riyadh,50-59,32
F,Jeddah,G94.8,Jeddah,18-29,21
M,Jeddah,U80.3,Jeddah,50-59,41
M,Jeddah,E13.15,Jeddah,50-59,41
M,Riyadh,N15.1,Riyadh,70-79,32
M,Jazan,I62.0,Jazan,50-59,2
F,Qassim,J18.9,Qassim,50-59,3
M,Jazan,E14.15,Jazan,18-29,2
M,Riyadh,L89.35,Riyadh,30-39,32
M,Asir,S01.81,Assir,00-17,6
M,Najran,A37.0,Najran,00-17,6
F,Jeddah,N18.9,Makkah,40-49,1
F,Medinah,Z50.8,Jeddah,18-29,1
F,Jeddah,E13.11,Makkah,00-17,1
M,Riyadh,S32.4,Riyadh,40-49,30
F,Asir,R57.9,Assir,50-59,1
F,Jeddah,I51.9,Jeddah,70-79,21
F,Jeddah,N17.9,Jeddah,70-79,21
M,Riyadh,Z89.6,Riyadh,60-69,1
M,Asir,J18.9,Assir,60-69,6
F,Tabuk,M48.42,Riyadh,18-29,29
F,Asir,P22.8,Assir,00-17,1
M,Eastern Region,M20.0,East,00-17,17
F,Tabuk,I26.9,Medinah,70-79,1
F,Medinah,J96.01,Medinah,80+,1
M,Asir,I64,Asir,80+,1
M,Medinah,A09.9,Medinah,00-17,1
M,Makkah,R51,Makkah,50-59,6
F,Riyadh,S06.02,Riyadh,70-79,31
M,Jazan,K76.0,Jazan,40-49,2
F,Jeddah,R42,Makkah,70-79,1
F,Asir,E11.11,Assir,60-69,14
F,Asir,J44.9,Assir,80+,7
F,Jeddah,W84,Makkah,80+,1
M,Riyadh,E51.8,Riyadh,30-39,32
F,Asir,J21.9,Medina,00-17,1
M,Jeddah,I44.1,Jeddah,60-69,20
M,Riyadh,M54.5,Riyadh,18-29,31
F,Jeddah,I61.1,Jeddah,70-79,20
F,Medinah,A41.9,Medina,30-39,6
F,Bisha,R11,Makkah,00-17,1
F,Jazan,R05,Jazan,00-17,12
M,Jazan,E11.11,Jazan,70-79,2
F,Makkah,E13.11,Makkah,70-79,6
M,Jazan,I24.9,Jazan,00-17,2
F,Riyadh,E16.2,Riyadh,40-49,1
F,Makkah,J06.9,Makkah,30-39,6
F,Northern Borders,P07.32,Riyadh,00-17,31
F,Asir,A41.8,Assir,80+,6
M,Riyadh,I48.1,Riyadh,60-69,32
F,Asir,I28.1,Assir,00-17,7
F,Eastern Region,Z50.9,Riyadh,18-29,1
F,Jeddah,J46,Jeddah,80+,1
F,Qassim,I51.9,Qassim,00-17,4
M,Riyadh,I10,Ihsaa,40-49,1
F,Medinah,J45.9,Medinah,50-59,1
M,Asir,A37.1,Assir,00-17,6
M,Asir,M80.18,Asir,00-17,1
M,Jeddah,R10.0,Jeddah,18-29,23
M,Asir,Q55.42,Assir,00-17,6
M,Eastern Region,N13.7,East,00-17,17
F,Asir,V99,Assir,50-59,6
M,Riyadh,G41.9,Riyadh,00-17,32
F,Taif,H43.8,Makkah,50-59,1
M,Riyadh,I61.3,Riyadh,18-29,1
M,Jeddah,I10,Jeddah,18-29,20
M,Riyadh,E87.0,Riyadh,70-79,33
M,Qunfotha,A41.9,Makkah,00-17,6
F,Asir,J44.9,Assir,60-69,7
F,Asir,I27.8,Assir,70-79,6
F,Makkah,A41.9,Makkah,00-17,18
M,Jeddah,K92.2,Makkah,40-49,1
M,Medinah,E10.11,Medinah,40-49,1
M,Riyadh,S85.1,Riyadh,40-49,31
M,Eastern Region,A65,East,80+,17
F,Asir,J45.9,Assir,70-79,1
F,Makkah,I89.0,Riyadh,18-29,1
M,Riyadh,S06.9,Riyadh,80+,2
M,Medinah,S98.4,Riyadh,50-59,3
M,Medinah,J45.9,Medina,50-59,7
M,Riyadh,G41.9,Riyadh,80+,31
F,Riyadh,Q24.9,Riyadh,00-17,32
F,Qassim,I61.9,Qassim,50-59,3
M,Medinah,J18.0,Medinah,00-17,10
M,Qunfotha,J06.9,Medinah,40-49,1
F,Baha,M05.84,Makkah,40-49,1
F,Jeddah,J18.0,Jeddah,60-69,1
M,Riyadh,Z96.64,Riyadh,40-49,2
F,Taif,K92.9,Taef,70-79,2
M,Asir,R17,Assir,00-17,43
M,Jeddah,J84.1,Jeddah,60-69,19
F,Jazan,J06.9,Jazan,80+,2
M,Jazan,M54.5,Jazan,30-39,2
F,Asir,E14.11,Assir,00-17,6
F,Jeddah,P07.31,Makkah,18-29,2
F,Riyadh,L89.35,Riyadh,70-79,30
M,Riyadh,K81.0,Riyadh,18-29,31
F,Hail,M21.67,Riyadh,18-29,1
M,Makkah,K37,Makkah,30-39,6
F,Qassim,J18.9,Qassim,80+,14
M,Riyadh,N18.9,Riyadh,70-79,60
M,Riyadh,K85.9,Riyadh,80+,32
M,Riyadh,I50.0,Riyadh,40-49,65
F,Makkah,I51.9,Makkah,60-69,6
M,Riyadh,P90,Najran,00-17,3
F,Jeddah,R57.2,Makkah,60-69,3
F,Jeddah,I24.9,Jeddah,80+,102
F,Riyadh,G73.7,Riyadh,18-29,32
F,Jeddah,J15.9,Makkah,00-17,1
F,Jeddah,J18.9,Jeddah,70-79,124
F,Jouf,J18.9,Riyadh,00-17,61
M,Riyadh,M79.86,Riyadh,18-29,31
F,Riyadh,O00.0,Riyadh,40-49,93
F,Jeddah,P59.0,Makkah,30-39,1
F,Qunfotha,S52.59,Makkah,60-69,6
F,Asir,I51.9,Assir,80+,12
M,Asir,J18.9,Assir,50-59,27
F,Riyadh,J12.0,Riyadh,70-79,37
M,Jazan,W80.9,Assir,00-17,6
F,Jeddah,E16.2,Makkah,50-59,1
F,Asir,E11.11,Assir,50-59,6
M,Makkah,R05,Makkah,50-59,6
M,Asir,S72.05,Assir,80+,6
F,Medinah,A78,Medinah,00-17,2
F,Medinah,O42.2,Medina,18-29,6
F,Riyadh,J96.09,Riyadh,30-39,3
M,Jazan,K35.8,Jazan,00-17,2
M,Najran,M60.08,Najran,00-17,6
M,Hafer AlBatin,J90,Riyadh,30-39,31
M,Jouf,S62.34,Riyadh,18-29,32
F,Riyadh,R51,Jeddah,50-59,1
M,Asir,A06.6,Assir,40-49,1
M,Qassim,E10.61,Qassim,40-49,3
M,Jeddah,K92.2,Jeddah,70-79,21
F,Riyadh,P07.32,Riyadh,30-39,63
M,Medinah,I64,Medina,40-49,7
M,Jeddah,E87.1,Jeddah,60-69,20
M,Eastern Region,Z50.9,East,60-69,2
M,Medinah,D01.0,Medinah,50-59,1
F,Riyadh,I70.21,Riyadh,50-59,31
M,Makkah,S72.9,Makkah,50-59,5
F,Makkah,M80.07,Makkah,18-29,1
F,Asir,U83.3,Assir,50-59,6
M,Riyadh,S72.8,Riyadh,60-69,32
M,Najran,S92.1,Najran,18-29,2
M,Makkah,Z50.9,Jeddah,00-17,2
